Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
Life of Crime,Lionsgate,"Aug 29, 2014",1 h 38 m,"['Comedy', 'Crime']",0,0,60,Mixed or Average,12,43,15,54,1,4,Generally Favorable,6.4,16,43,18,49,3,8
Thin Ice,ATO Pictures,"Feb 17, 2012",1 h 33 m,"['Comedy', 'Crime', 'Drama', 'Mystery']",0,0,60,Mixed or Average,9,45,10,50,1,5,Generally Favorable,7.0,7,70,1,10,2,20
Lonely Hearts,Millennium Films,"Apr 13, 2007",1 h 48 m,"['Biography', 'Crime', 'Drama', 'History', 'Romance', 'Thriller']",0,1,60,Mixed or Average,8,57,6,43,0,0,Generally Favorable,6.8,7,54,3,23,3,23
Hateship Loveship,IFC Films,"Apr 11, 2014",1 h 44 m,"['Drama', 'Romance']",0,0,59,Mixed or Average,9,43,11,52,1,5,Generally Favorable,7.3,10,67,5,33,0,0
Self Reliance,Hulu,"Jan 3, 2024",1 h 25 m,"['Comedy', 'Thriller']",0,0,59,Mixed or Average,7,54,6,46,0,0,Mixed or Average,5.8,9,31,17,59,3,10
Clock,Hulu,"Apr 28, 2023",1 h 31 m,"['Drama', 'Horror', 'Thriller']",0,0,59,Mixed or Average,4,57,3,43,0,0,Mixed or Average,4.5,3,19,10,63,3,19
Rust Creek,IFC Midnight,"Jan 4, 2019",1 h 48 m,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",7,7,59,Mixed or Average,6,50,6,50,0,0,Generally Favorable,6.8,12,55,10,45,0,0
Celeste and Jesse Forever,Sony Pictures Classics,"Aug 3, 2012",1 h 32 m,"['Comedy', 'Drama', 'Romance']",0,4,59,Mixed or Average,22,59,12,32,3,8,Generally Favorable,7.1,36,67,13,24,5,9
Metal Lords,Netflix,"Apr 8, 2022",1 h 37 m,"['Comedy', 'Music']",0,0,59,Mixed or Average,9,45,10,50,1,5,Generally Favorable,7.1,33,65,14,27,4,8
Under the Same Moon (La misma luna),Fox Searchlight Pictures,"Mar 19, 2008",1 h 46 m,"['Adventure', 'Drama']",8,8,59,Mixed or Average,16,67,8,33,0,0,Generally Favorable,6.1,9,45,8,40,3,15
