Movie ID,Title,Streaming Platform,Release Date,Duration,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
1,The Leopard (re-release),Twentieth Century Fox Film Corporation,2004-08-13,187,3,9,100,Universal Acclaim,12,100,0,0,0,0,Generally Favorable,7.8,89,79,12,11,11,10
2,Lawrence of Arabia (re-release),Columbia Pictures,2002-09-20,216,17,24,100,Universal Acclaim,8,100,0,0,0,0,Universal Acclaim,8.5,446,88,36,7,27,5
3,Boyhood,IFC Films,2014-07-11,165,8,21,100,Universal Acclaim,50,100,0,0,0,0,Generally Favorable,7.6,2100,76,306,11,328,12
4,Fanny and Alexander (re-release),Embassy Pictures Corporation,2004-05-21,188,8,12,100,Universal Acclaim,8,100,0,0,0,0,Universal Acclaim,8.4,129,85,16,11,7,5
5,Army of Shadows,Rialto Pictures,2006-04-28,145,3,3,99,Universal Acclaim,24,100,0,0,0,0,Generally Favorable,7.3,66,77,11,13,9,10
6,Moonlight,A24,2016-10-21,111,7,28,99,Universal Acclaim,53,100,0,0,0,0,Generally Favorable,7.1,1400,71,218,11,353,18
7,Pépé le Moko (re-release),Arthur Mayer & Joseph Burstyn,2002-03-01,94,2,2,98,Universal Acclaim,12,100,0,0,0,0,Mixed or Average,5.8,17,61,2,7,9,32
8,Pan's Labyrinth,Picturehouse,2006-12-29,118,10,20,98,Universal Acclaim,37,100,0,0,0,0,Universal Acclaim,8.7,1600,90,119,7,49,3
9,Metropolis (re-release),Paramount Pictures,2002-07-12,153,3,8,98,Universal Acclaim,14,100,0,0,0,0,Universal Acclaim,8.7,212,90,19,8,5,2
10,"Quo Vadis, Aida?",Cinéart,2021-03-05,101,6,14,97,Universal Acclaim,16,100,0,0,0,0,Universal Acclaim,8.3,138,86,11,7,12,7
11,Rififi (re-release),Rialto Pictures,2000-07-21,122,4,5,97,Universal Acclaim,13,100,0,0,0,0,Universal Acclaim,8.4,51,86,6,10,2,3
12,"4 Months, 3 Weeks and 2 Days",IFC Films,2008-01-23,113,11,22,97,Universal Acclaim,37,100,0,0,0,0,Generally Favorable,8.0,217,84,27,10,14,5
13,Parasite,CJ Entertainment,2019-10-11,132,17,29,97,Universal Acclaim,56,100,0,0,0,0,Universal Acclaim,8.8,2000,92,107,5,79,4
14,Roma,Netflix,2018-11-21,135,15,28,96,Universal Acclaim,50,100,0,0,0,0,Generally Favorable,7.6,726,78,101,11,107,11
15,Spirited Away,Walt Disney Studios,2002-09-20,125,14,14,96,Universal Acclaim,41,100,0,0,0,0,Universal Acclaim,9.0,1800,94,61,3,60,3
16,Killer of Sheep,Milestone Film & Video,2007-03-30,80,3,3,96,Universal Acclaim,24,100,0,0,0,0,Generally Favorable,7.7,25,83,2,7,3,10
17,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Searchlight Pictures,2021-07-02,117,8,13,96,Universal Acclaim,38,100,0,0,0,0,Generally Favorable,7.6,64,80,9,11,7,9
18,12 Years a Slave,Fox Searchlight Pictures,2013-10-18,134,12,36,96,Universal Acclaim,56,98,1,2,0,0,Generally Favorable,8.0,1500,86,130,7,122,7
19,Manchester by the Sea,Roadside Attractions,2016-11-18,137,5,22,96,Universal Acclaim,52,98,1,2,0,0,Universal Acclaim,8.2,988,88,75,7,66,6
20,The Battle of Algiers,Rialto Pictures,2004-01-09,121,6,12,96,Universal Acclaim,22,100,0,0,0,0,Universal Acclaim,8.4,75,87,9,10,2,2
21,Ratatouille,Buena Vista Pictures,2007-06-29,111,11,19,96,Universal Acclaim,37,100,0,0,0,0,Universal Acclaim,8.6,1800,92,108,6,40,2
22,Children of Paradise (1945),Tricolore,2012-03-09,190,2,3,96,Universal Acclaim,19,95,1,5,0,0,Generally Favorable,7.5,19,73,4,15,3,12
23,Gravity,Warner Bros. Pictures,2013-10-04,91,15,28,96,Universal Acclaim,49,100,0,0,0,0,Generally Favorable,7.7,2900,79,420,12,354,10
24,Small Axe: Lovers Rock,Amazon Prime Video,2020-11-27,68,0,0,95,Universal Acclaim,27,100,0,0,0,0,Generally Favorable,6.1,45,64,6,9,19,27
25,The Social Network,Columbia Pictures,2010-10-01,120,15,31,95,Universal Acclaim,41,98,1,2,0,0,Universal Acclaim,8.2,2100,87,204,8,99,4
26,Portrait of a Lady on Fire,Alamode Film,2019-12-06,122,3,18,95,Universal Acclaim,48,100,0,0,0,0,Universal Acclaim,8.5,358,88,31,8,19,5
27,I Am Not Your Negro,Magnolia Pictures,2016-12-09,93,3,10,95,Universal Acclaim,36,100,0,0,0,0,Mixed or Average,5.4,122,55,15,7,85,38
28,Do Not Expect Too Much From the End of the World,MUBI,2024-03-22,163,2,25,95,Universal Acclaim,23,100,0,0,0,0,Generally Favorable,6.8,58,69,10,12,16,19
29,Aftersun,A24,2022-10-21,98,10,28,95,Universal Acclaim,45,98,1,2,0,0,Generally Favorable,8.0,228,83,30,11,16,6
30,Rocks,Netflix,2021-02-01,93,8,28,95,Universal Acclaim,15,100,0,0,0,0,Generally Favorable,6.8,36,71,6,12,9,18
31,Amour,Sony Pictures Classics,2012-12-19,127,7,16,95,Universal Acclaim,43,96,2,4,0,0,Universal Acclaim,8.1,318,84,39,10,21,6
32,The Hurt Locker,Summit Entertainment,2009-06-26,131,12,22,95,Universal Acclaim,36,97,1,3,0,0,Generally Favorable,7.4,737,78,122,13,85,9
33,Zero Dark Thirty,Columbia Pictures,2012-12-19,157,3,21,95,Universal Acclaim,44,96,2,4,0,0,Generally Favorable,7.0,939,71,205,15,187,14
34,Collective,Magnolia Pictures,2020-11-20,109,5,12,95,Universal Acclaim,24,100,0,0,0,0,Generally Favorable,7.4,56,79,4,6,11,15
35,A Separation,Sony Pictures Classics,2011-12-30,123,6,14,95,Universal Acclaim,41,100,0,0,0,0,Universal Acclaim,8.9,719,92,35,4,25,3
36,WALL-E,Walt Disney Studios Motion Pictures,2008-06-27,98,11,19,95,Universal Acclaim,39,100,0,0,0,0,Universal Acclaim,8.9,2000,94,87,4,38,2
37,Carol,"Weinstein Company, The",2015-11-20,118,6,23,94,Universal Acclaim,44,98,1,2,0,0,Generally Favorable,8.0,616,81,73,10,67,9
38,Before Midnight,Sony Pictures Classics,2013-05-24,109,1,8,94,Universal Acclaim,40,98,1,2,0,0,Universal Acclaim,8.3,544,87,42,7,37,6
39,Amazing Grace,Neon,2018-11-23,87,1,5,94,Universal Acclaim,28,100,0,0,0,0,Universal Acclaim,8.2,37,88,4,10,1,2
40,Dunkirk,Warner Bros.,2017-07-21,106,4,22,94,Universal Acclaim,52,98,0,0,1,2,Universal Acclaim,8.2,2900,84,321,9,219,6
41,45 Years,Sundance Selects,2015-12-23,95,3,13,94,Universal Acclaim,36,100,0,0,0,0,Generally Favorable,7.3,147,74,34,17,17,9
42,Inside the Yellow Cocoon Shell,Kino Lorber,2024-01-19,178,2,7,94,Universal Acclaim,15,100,0,0,0,0,Generally Favorable,7.4,44,79,6,11,6,11
43,Yi Yi,WinStar Cinema,2000-10-06,173,4,9,94,Universal Acclaim,25,100,0,0,0,0,Universal Acclaim,8.6,70,86,9,11,2,2
44,Mr. Turner,Sony Pictures Classics,2014-12-19,150,2,16,94,Universal Acclaim,43,98,1,2,0,0,Generally Favorable,6.9,119,70,27,16,25,15
45,The Irishman,Netflix,2019-11-01,209,1,29,94,Universal Acclaim,55,100,0,0,0,0,Generally Favorable,8.0,1200,83,148,10,104,7
46,"Crouching Tiger, Hidden Dragon",Sony Pictures Classics,2000-12-08,120,16,33,94,Universal Acclaim,32,100,0,0,0,0,Universal Acclaim,8.1,439,87,47,9,18,4
47,Inside Out,Walt Disney Studios Motion Pictures,2015-06-19,94,12,17,94,Universal Acclaim,55,100,0,0,0,0,Universal Acclaim,8.6,2400,91,138,5,94,4
48,Sideways,Fox Searchlight Pictures,2004-10-22,126,6,21,94,Universal Acclaim,41,98,1,2,0,0,Generally Favorable,7.7,291,78,59,16,25,7
49,We Were Here,Red Flag Releasing (RFR),2011-09-09,90,4,4,94,Universal Acclaim,11,100,0,0,0,0,Generally Favorable,6.3,46,57,17,21,17,21
50,Faces Places,Cohen Media Group,2017-10-06,89,3,8,94,Universal Acclaim,23,100,0,0,0,0,Generally Favorable,7.1,67,74,6,7,18,20
51,Past Lives,A24,2023-06-02,106,1,15,94,Universal Acclaim,51,98,1,2,0,0,Generally Favorable,7.8,280,81,38,11,27,8
